CUSTOMER_ID,FULL_NAME,CITY,TRANSACTION_MONTH,TRANSACTION_COUNT,TOTAL_SPEND,AVG_TRANSACTION_VALUE,MIN_TRANSACTION,MAX_TRANSACTION
C004,David Lee,Seattle,2024-01-01,1,350.00,350.00000000,350.00,350.00
C001,Alice Johnson,Seattle,2024-01-01,4,314.24,78.56000000,12.75,200.00
C003,Carol White,San Francisco,2024-01-01,2,128.50,64.25000000,8.50,120.00
C002,Bob Martinez,Portland,2024-01-01,2,110.30,55.15000000,45.00,65.30
C005,Emma Davis,Portland,2024-01-01,1,92.10,92.10000000,92.10,92.10
C002,Bob Martinez,Portland,2024-02-01,1,420.00,420.00000000,420.00,420.00
C003,Carol White,San Francisco,2024-02-01,2,173.40,86.70000000,78.40,95.00
C001,Alice Johnson,Seattle,2024-02-01,1,110.20,110.20000000,110.20,110.20
C004,David Lee,Seattle,2024-02-01,1,55.00,55.00000000,55.00,55.00
C005,Emma Davis,Portland,2024-02-01,1,15.99,15.99000000,15.99,15.99
